,Tumor Volume (mm3),Tumor Volume (mm3),Tumor Volume (mm3),Tumor Volume (mm3),Tumor Volume (mm3)
,mean,median,std,var,sem
Drug Regimen,,,,,
Capomulin,40.67574114100001,41.557808879999996,4.994773680584014,24.947764120254785,0.32934562340083046
Ceftamin,52.59117180960677,51.77615728,6.268187718414198,39.29017727327859,0.4698205327526109
Infubinol,52.88479510859551,51.82058438,6.567243267066943,43.1286841288361,0.49223569380113846
Ketapril,55.23563764047869,53.698742644999996,8.279708757706759,68.553577112446,0.6038598237739697
Naftisol,54.331564658333306,52.509284609999995,8.134708291473338,66.17347898736506,0.5964657512424235
Placebo,54.03358078635358,52.28893409,7.821002681031186,61.168082936697,0.5813305510593875
Propriva,52.38299324410256,50.78352782,6.574207530626107,43.220204655741014,0.5263578573053297
Ramicane,40.2167450667105,40.67323554,4.8463082807530204,23.486703952095297,0.3209546065084819
Stelasyn,54.23314911988949,52.43173664,7.710419033578266,59.450561673366,0.5731109332771459
Zoniferol,53.236506551593415,51.818479325,6.966588504381905,48.5333553893861,0.516397896833217
